Thorfare_ID,street_name,road_start,road_finish,new_area_code,Impact No,year_built,yr_last_repaired,in_charge,Irish
47178,ABBEY COTTAGES,ABBEY STREET,,1,,0,1940,Y,
252536,ABBEY COURT,ABBEY PARK,,3,,1987,1987,Y,
585762,ABBEY DRIVE,ASHINGTON NORTH,,2,,0,1998,Y,
252533,ABBEY PARK,KILLESTER AVE.,,3,,,1940,Y ,Páirc na Mainistreach  
122560,ABBEY STREET LOWER,O'CONNELL ST.,BERESFORD PLACE,1,4,,1962,Y ,Sráid na Mainistreach íocht    
128737,ABBEY STREET MIDDLE,LR. LIFFEY STREET,O'CONNELL STREET,1,5,,1974,Y ,Sráid Mheadhan na Mainistreach 
47202,ABBEY STREET UPPER,CAPEL ST,LOWER LIFFEY STREET,1,5,,1940,Y ,Sráid na Mainistreach Uacht    
582530,ABBEYFIELD,ST BRIGID RD,MIDDLE THIRD,3,,,1940,Y ,Gort na Mainistreach   
582530,ABBEYFIELD,ST BRIGID RD,MIDDLE THIRD,3,,,1940,Y ,Gort na Mainistreach   
252542,ABBEYFIELD,MILLTOWN ROAD,,5,,1995,1995,Y,Goirt na Mainistreach  
30502,ABBEYFIELD LAWNS,ABBEYFIELD,,3,,2001,2001,N,
55006,ABBOTSTOWN AVENUE,CARDIFFBRIDGE RD,RATOATH ROAD,2,,,1940,Y ,Ascaill Bhaile Abba    
55003,ABBOTSTOWN DRIVE,RATOATH DRIVE,,2,,,1940,Y ,Céide Bhaile an Abba
55005,ABBOTSTOWN ROAD,CAPPAGH RD,RATOATH AVE.,2,,,1940,Y ,Bóthar Bhaile an Abba  
127872,ABERCORN ROAD,SHERRIFF ST.,IRVINE TCE.,1,,,1967,Y ,Bóthar Abarearnaigh 
545808,ABERCORN SQUARE,,,4,,1996,,Y,
286163,ABERCORN TERRACE,ST. PATRICKS TERRACE,,4,,,1987,Y ,Ardán Abarearnaigh  
143719,ABERDEEN STREET,INFIRMARY RD.,FINDLATER ST.,1,,,1970,Y ,Sráid Abardeón 
30440,ACCOMMODATION WALK,STRAND TERRACE,CLONSKEAGH ROAD,5,,0,,Y,An Congar
30440,ACCOMMODATION WALK,CLONSKEAGH ROAD,BROOKVALE ROAD,5,,0,,Y,An Congar
30440,ACCOMMODATION WALK,PIGEON HOUSE ROAD,STRAND STREET,5,,0,,Y,An Congar
30440,ACCOMMODATION WALK,LANSDOWNE ROAD,HERBERT COTTAGES,5,,0,,Y,An Congar
30440,ACCOMMODATION WALK,LONDONBRIDGE ROAD,NEWBRIDGE ROAD,5,,0,,Y,An Congar
30440,ACCOMMODATION WALK,FITZWILLIAM QUAY,LONDONBRIDGE ROAD,5,,0,1950,Y,An Congar
